subject,list,position,trial_type,item,session
63,6,8,study,SCREEN,2
63,6,9,study,DIRECTOR,2
63,6,10,study,EARRING,2
63,6,11,study,GOBLIN,2
63,6,12,study,COMET,2
63,6,13,study,PIPE,2
63,6,14,study,SEA,2
63,6,15,study,OATMEAL,2
63,6,16,study,SAUSAGE,2
63,6,1,recall,GOBLIN,2
63,6,2,recall,GOBLIN,2
63,6,3,recall,ISLAND,2
63,6,4,recall,SEA,2
63,6,5,recall,OATMEAL,2
63,6,6,recall,SAUSAGE,2
63,6,7,recall,GRASS,2
63,6,8,recall,BASKET,2
63,6,9,recall,EAR,2
63,6,10,recall,EARRING,2
63,6,11,recall,DRESSER,2
63,6,12,recall,DIRECTOR,2
63,7,1,study,WHALE,2
63,7,2,study,BEGGAR,2
63,7,3,study,DOCK,2
63,7,4,study,CAPTAIN,2
63,7,5,study,POLYESTER,2
63,7,6,study,DIAL,2
63,7,7,study,CHALK,2
63,7,8,study,HOOK,2
63,7,9,study,OFFICE,2
63,7,10,study,ARTIST,2
63,7,11,study,NEWSPAPER,2
63,7,12,study,SLACKS,2
63,7,13,study,VIOLA,2
63,7,14,study,BUGLE,2
63,7,15,study,FOLDER,2
63,7,16,study,WALL,2
63,7,1,recall,CAPTAIN,2
63,7,2,recall,HOOK,2
63,7,3,recall,BEGGAR,2
63,7,4,recall,WHALE,2
63,7,5,recall,DOCK,2
63,7,6,recall,OFFICE,2
63,7,7,recall,ARTIST,2
63,7,8,recall,WALL,2
63,7,9,recall,BOULDER,2
63,7,10,recall,NEWSPAPER,2
63,7,11,recall,SLACKS,2
63,7,12,recall,POLYESTER,2
63,7,13,recall,DIAL,2
63,8,1,study,CAN,2
63,8,2,study,WALNUT,2
63,8,3,study,STOVE,2
63,8,4,study,SINK,2
63,8,5,study,MARSH,2
63,8,6,study,SATURN,2
63,8,7,study,FUR,2
63,8,8,study,NUT,2
63,8,9,study,FRIES,2
63,8,10,study,CLIMBER,2
63,8,11,study,CRUMB,2
63,8,12,study,PAPER,2
63,8,13,study,PENCIL,2
63,8,14,study,UNIVERSE,2
63,8,15,study,ROBBER,2
63,8,16,study,BURGLAR,2
63,8,1,recall,STOVE,2
63,8,2,recall,WALNUT,2
63,8,3,recall,NUT,2
63,8,4,recall,MARSH,2
63,8,5,recall,SINK,2
63,8,6,recall,UNIVERSE,2
63,8,7,recall,SATURN,2
63,8,8,recall,BURGLAR,2
63,8,9,recall,ROBBER,2
63,8,10,recall,PENCIL,2
63,8,11,recall,PAPER,2
63,8,12,recall,CLIMBER,2
63,9,1,study,WATER,3
63,9,2,study,DRINK,3
63,9,3,study,REPORT,3
63,9,4,study,POTATO,3
63,9,5,study,DOLL,3
63,9,6,study,MESSAGE,3
63,9,7,study,SOLDIER,3
63,9,8,study,BOXER,3
63,9,9,study,RIB,3
63,9,10,study,PEAR,3
63,9,11,study,RECIPE,3
63,9,12,study,REFRIGERATOR,3
63,9,13,study,SIBLING,3
63,9,14,study,PUMPKIN,3
63,9,15,study,CREEK,3
63,9,16,study,MOTOR,3
63,9,1,recall,SIBLING,3
63,9,2,recall,BOXER,3
63,9,3,recall,DRINK,3
63,9,4,recall,POTATO,3
63,9,5,recall,CREEK,3
63,9,6,recall,MESSAGE,3
63,9,7,recall,WATER,3
63,9,8,recall,PUMPKIN,3
63,9,9,recall,MOTOR,3
63,9,10,recall,SOLDIER,3
63,9,11,recall,DOLL,3
63,10,1,study,PAINT,3
63,10,2,study,CREAM,3
63,10,3,study,WHEAT,3
63,10,4,study,PAINTER,3
63,10,5,study,PLATE,3
63,10,6,study,GARDEN,3
63,10,7,study,HOE,3
63,10,8,study,JELLO,3
63,10,9,study,MICROSCOPE,3
63,10,10,study,BELL,3
63,10,11,study,BRACELET,3
63,10,12,study,STABLE,3
63,10,13,study,HEAD,3
63,10,14,study,CHOCOLATE,3
63,10,15,study,ASIA,3
63,10,16,study,EUROPE,3
63,10,1,recall,PAINTER,3
63,10,2,recall,PAINT,3
63,10,3,recall,CREAM,3
63,10,4,recall,WHEAT,3
63,10,5,recall,GARDEN,3
63,10,6,recall,STABLE,3
63,10,7,recall,BRACELET,3
63,10,8,recall,MICROSCOPE,3
63,10,9,recall,BELL,3
63,10,10,recall,ASIA,3
63,10,11,recall,EUROPE,3
63,10,12,recall,CHOCOLATE,3
63,11,1,study,MARINE,3
63,11,2,study,SUBMARINE,3
63,11,3,study,LIZARD,3
63,11,4,study,WART,3
63,11,5,study,NOTEBOOK,3
63,11,6,study,COOLER,3
63,11,7,study,PUMP,3
63,11,8,study,SCROLL,3
63,11,9,study,BEAD,3
63,11,10,study,CHAIN,3
63,11,11,study,CYLINDER,3
63,11,12,study,BIKE,3
63,11,13,study,YARD,3
63,11,14,study,LANDSCAPE,3
63,11,15,study,TOE,3
63,11,16,study,FLEET,3
63,11,1,recall,FLEET,3
63,11,2,recall,MARINE,3
63,11,3,recall,SUBMARINE,3
63,11,4,recall,NOTEBOOK,3
63,11,5,recall,SCROLL,3
63,11,6,recall,BEAD,3
63,12,1,study,SHOWER,3
63,12,2,study,TANK,3
63,12,3,study,ZUCCHINI,3
63,12,4,study,DOUGHNUT,3
63,12,5,study,GROCERIES,3
63,12,6,study,SNORKEL,3
63,12,7,study,BUCKET,3
63,12,8,study,EMERALD,3
63,12,9,study,ENVELOPE,3
63,12,10,study,HARE,3
63,12,11,study,SPAGHETTI,3
63,12,12,study,PLUM,3
63,12,13,study,TREE,3
63,12,14,study,RASPBERRY,3
63,12,15,study,SPONGE,3
63,12,16,study,CHAMBER,3
63,12,1,recall,SHOWER,3
63,12,2,recall,TANK,3
63,12,3,recall,CHAMBER,3
63,12,4,recall,SNORKEL,3
63,12,5,recall,BUCKET,3
63,12,6,recall,EMERALD,3
63,12,7,recall,GROCERIES,3
63,12,8,recall,RASPBERRY,3
63,13,1,study,BEAST,4
63,13,2,study,BLADE,4
63,13,3,study,SILVERWARE,4
63,13,4,study,FOUNTAIN,4
63,13,5,study,GALAXY,4
63,13,6,study,PRUNE,4
63,13,7,study,BRAN,4
63,13,8,study,LAVA,4
63,13,9,study,HORSE,4
63,13,10,study,NEPTUNE,4
63,13,11,study,CAFE,4
63,13,12,study,PREDATOR,4
63,13,13,study,WELL,4
63,13,14,study,DECK,4
63,13,15,study,PIRATE,4
63,13,16,study,SAUSAGE,4
63,13,1,recall,WELL,4
63,13,2,recall,DECK,4
63,13,3,recall,PIRATE,4
63,13,4,recall,FOUNTAIN,4
63,13,5,recall,LAVA,4
63,13,6,recall,BEAST,4
63,13,7,recall,PREDATOR,4
63,13,8,recall,HORSE,4
63,13,9,recall,BLADE,4
63,13,10,recall,SILVERWARE,4
63,13,11,recall,GALAXY,4
63,13,12,recall,NEPTUNE,4
63,13,13,recall,CAFE,4
63,14,1,study,PORCH,4
63,14,2,study,SIREN,4
63,14,3,study,PLAID,4
63,14,4,study,BLOSSOM,4
63,14,5,study,HAT,4
63,14,6,study,RAFT,4
63,14,7,study,REEF,4
63,14,8,study,STAIRS,4
63,14,9,study,WEED,4
63,14,10,study,GRASS,4
63,14,11,study,POLICE,4
63,14,12,study,SCARF,4
63,14,13,study,ANTENNA,4
63,14,14,study,FREEWAY,4
63,14,15,study,HIKER,4
63,14,16,study,RAISIN,4
63,14,1,recall,PORCH,4
63,14,2,recall,SIREN,4
63,14,3,recall,BLOSSOM,4
63,14,4,recall,HIKER,4
63,14,5,recall,HAT,4
63,14,6,recall,SCARF,4
63,14,7,recall,GRASS,4
63,14,8,recall,WEED,4
63,14,9,recall,RAFT,4
63,14,10,recall,POLICE,4
63,14,11,recall,RAISIN,4
63,14,12,recall,PLAID,4
63,15,1,study,CRADLE,4
63,15,2,study,HUT,4
63,15,3,study,NICKEL,4
63,15,4,study,REGISTER,4
63,15,5,study,DIAPER,4
63,15,6,study,SPINACH,4
63,15,7,study,SKIRT,4
63,15,8,study,PRISON,4
63,15,9,study,VEHICLE,4
63,15,10,study,SEED,4
63,15,11,study,BASEBALL,4
63,15,12,study,BOLT,4
63,15,13,study,PIE,4
63,15,14,study,COTTAGE,4
63,15,15,study,MILITARY,4
63,15,16,study,COLONEL,4
63,15,1,recall,PRISONER,4
63,15,2,recall,HUT,4
63,15,3,recall,COTTAGE,4
63,15,4,recall,MILITARY,4
63,15,5,recall,CRADLE,4
63,15,6,recall,REGISTER,4
63,15,7,recall,NICKEL,4
63,15,8,recall,SKIRT,4
63,16,1,study,PIANO,4
63,16,2,study,ATTORNEY,4
63,16,3,study,MICROWAVE,4
63,16,4,study,NECKLACE,4
63,16,5,study,TYPEWRITER,4
63,16,6,study,PUB,4
63,16,7,study,BEDROOM,4
63,16,8,study,BED,4
63,16,9,study,SHELTER,4
63,16,10,study,CHEEK,4
63,16,11,study,BONE,4
63,16,12,study,HAY,4
63,16,13,study,CART,4
63,16,14,study,HINGE,4
63,16,15,study,WITNESS,4
63,16,16,study,PATIO,4
63,16,1,recall,PIANO,4
63,16,2,recall,ATTORNEY,4
63,16,3,recall,MICROWAVE,4
63,16,4,recall,NECKLACE,4
63,16,5,recall,SHELTER,4
63,16,6,recall,PATIO,4
63,16,7,recall,CHEEK,4
63,16,8,recall,BONE,4
63,16,9,recall,BED,4
63,16,10,recall,BEDROOM,4
63,16,11,recall,HINGE,4
63,17,1,study,CHEDDAR,5
63,17,2,study,CHAIR,5
63,17,3,study,RIB,5
63,17,4,study,REFRIGERATOR,5
63,17,5,study,TRAY,5
63,17,6,study,BARLEY,5
63,17,7,study,BULB,5
63,17,8,study,EAGLE,5
63,17,9,study,CAULIFLOWER,5
63,17,10,study,BANANA,5
63,17,11,study,SEAT,5
63,17,12,study,SHRUB,5
63,17,13,study,LANDSCAPE,5
63,17,14,study,DIAGRAM,5
63,17,15,study,PAINT,5
63,17,16,study,JUNGLE,5
63,17,1,recall,SEAT,5
63,17,2,recall,CHAIR,5
63,17,3,recall,TRAY,5
63,17,4,recall,RIB,5
63,17,5,recall,CAULIFLOWER,5
63,17,6,recall,CHEDDAR,5
63,17,7,recall,BANANA,5
63,17,8,recall,PAINT,5
63,17,9,recall,EAGLE,5
63,17,10,recall,REFRIGERATOR,5
63,17,11,recall,LANDSCAPE,5
63,17,12,recall,SHRUB,5
63,17,13,recall,JUNGLE,5
63,17,14,recall,BULB,5
63,17,15,recall,DIAGRAM,5
63,18,1,study,BAND,5
63,18,2,study,MOTOR,5
63,18,3,study,CABINET,5
63,18,4,study,RAG,5
63,18,5,study,FOSSIL,5
63,18,6,study,DINOSAUR,5
63,18,7,study,THIMBLE,5
63,18,8,study,GOWN,5
63,18,9,study,BANJO,5
63,18,10,study,SALESMAN,5
63,18,11,study,PAINTING,5
63,18,12,study,BIKE,5
63,18,13,study,GULL,5
63,18,14,study,TREAD,5
63,18,15,study,LEOPARD,5
63,18,16,study,CLAW,5
63,18,1,recall,SALESMAN,5
63,18,2,recall,PAINTING,5
63,18,3,recall,DINOSAUR,5
63,18,4,recall,FOSSIL,5
63,18,5,recall,BAND,5
63,18,6,recall,MOTOR,5
63,18,7,recall,RAG,5
63,18,8,recall,GOWN,5
63,18,9,recall,CABINET,5
63,18,10,recall,BIKE,5
63,18,11,recall,TREAD,5
63,18,12,recall,LEOPARD,5
63,18,13,recall,CLAW,5
63,18,14,recall,GULL,5
63,18,15,recall,BANJO,5
63,19,1,study,HAMBURGER,5
63,19,2,study,COLESLAW,5
63,19,3,study,PONY,5
63,19,4,study,TORTOISE,5
63,19,5,study,CABBAGE,5
63,19,6,study,WINE,5
63,19,7,study,DIRECTOR,5
63,19,8,study,TEACHER,5
63,19,9,study,KEY,5
63,19,10,study,QUILL,5
63,19,11,study,CARRIAGE,5
63,19,12,study,BUNNY,5
63,19,13,study,SLUG,5
63,19,14,study,RODENT,5
63,19,15,study,CHERRY,5
63,19,16,study,BLACKBERRY,5
63,19,1,recall,DIRECTOR,5
63,19,2,recall,KEY,5
63,19,3,recall,QUILL,5
63,19,4,recall,HAMBURGER,5
63,19,5,recall,COLESLAW,5
63,19,6,recall,CABBAGE,5
63,19,7,recall,TEACHER,5
63,19,8,recall,PONY,5
63,19,9,recall,CARRIAGE,5
63,19,10,recall,BUNNY,5
63,19,11,recall,CHERRY,5
63,19,12,recall,BLACKBERRY,5
63,19,13,recall,RODENT,5
63,19,14,recall,WINE,5
63,20,1,study,PIPE,5
63,20,2,study,FOLDER,5
63,20,3,study,MUSHROOM,5
63,20,4,study,ROCK,5
63,20,5,study,SACK,5
63,20,6,study,LIME,5
63,20,7,study,JAR,5
63,20,8,study,ICEBERG,5
63,20,9,study,SWATTER,5
63,20,10,study,BEETLE,5
63,20,11,study,SWEATER,5
63,20,12,study,CIGAR,5
63,20,13,study,ROOF,5
63,20,14,study,SHINGLE,5
63,20,15,study,VIOLIN,5
63,20,16,study,MAYONNAISE,5
63,20,1,recall,FOLDER,5
63,20,2,recall,PIPE,5
63,20,3,recall,ROCK,5
63,20,4,recall,SACK,5
63,20,5,recall,MUSHROOM,5
63,20,6,recall,LIME,5
63,20,7,recall,JAR,5
63,20,8,recall,BEETLE,5
63,20,9,recall,VIOLIN,5
63,20,10,recall,ROOF,5
63,20,11,recall,SHINGLE,5
63,20,12,recall,SWEATER,5
63,21,1,study,OFFICER,6
63,21,2,study,CASH,6
63,21,3,study,VETERAN,6
63,21,4,study,MISSILE,6
63,21,5,study,CAFE,6
63,21,6,study,STOMACH,6
63,21,7,study,SOLDIER,6
63,21,8,study,HOME,6
63,21,9,study,DORM,6
63,21,10,study,ARMY,6
63,21,11,study,LIST,6
63,21,12,study,SNACK,6
63,21,13,study,CHICKEN,6
63,21,14,study,DIME,6
63,21,15,study,SUPPER,6
63,21,16,study,POSSUM,6
63,21,1,recall,OFFICER,6
63,21,2,recall,SOLDIER,6
63,21,3,recall,VETERAN,6
63,21,4,recall,ARMY,6
63,21,5,recall,CASH,6
63,21,6,recall,MISSILE,6
63,21,7,recall,CAFE,6
63,21,8,recall,SNACK,6
63,21,9,recall,CHICKEN,6
63,21,10,recall,SUPPER,6
63,21,11,recall,STOMACH,6
63,21,12,recall,DIME,6
63,21,13,recall,HOME,6
63,21,14,recall,DORM,6
63,22,1,study,HAT,6
63,22,2,study,ROOT,6
63,22,3,study,CABIN,6
63,22,4,study,WORM,6
63,22,5,study,GREASE,6
63,22,6,study,VOLLEYBALL,6
63,22,7,study,PLAZA,6
63,22,8,study,ISLAND,6
63,22,9,study,DIVER,6
63,22,10,study,GANG,6
63,22,11,study,FLOUR,6
63,22,12,study,ICING,6
63,22,13,study,BOXER,6
63,22,14,study,DONOR,6
63,22,15,study,WHEEL,6
63,22,16,study,CAP,6
63,22,1,recall,CAP,6
63,22,2,recall,HAT,6
63,22,3,recall,ROOT,6
63,22,4,recall,CABIN,6
63,22,5,recall,ISLAND,6
63,22,6,recall,DIVER,6
63,22,7,recall,GREASE,6
63,22,8,recall,GANG,6
63,22,9,recall,ICING,6
63,22,10,recall,FLOUR,6
63,22,11,recall,BOXER,6
63,23,1,study,CHIPMUNK,6
63,23,2,study,CASHEW,6
63,23,3,study,ESCALATOR,6
63,23,4,study,SERVANT,6
63,23,5,study,GENTLEMAN,6
63,23,6,study,DRUG,6
63,23,7,study,BRACELET,6
63,23,8,study,CLIMBER,6
63,23,9,study,WAITER,6
63,23,10,study,MISTER,6
63,23,11,study,PEACH,6
63,23,12,study,KNAPSACK,6
63,23,13,study,TOY,6
63,23,14,study,DELINQUENT,6
63,23,15,study,FRUIT,6
63,23,16,study,ORANGE,6
63,23,1,recall,SERVANT,6
63,23,2,recall,WAITER,6
63,23,3,recall,GENTLEMAN,6
63,23,4,recall,MISTER,6
63,23,5,recall,DELINQUENT,6
63,23,6,recall,FRUIT,6
63,23,7,recall,PEACH,6
63,23,8,recall,ORANGE,6
63,23,9,recall,CHIPMUNK,6
63,23,10,recall,CASHEW,6
63,23,11,recall,BRACELET,6
63,23,12,recall,DRUG,6
63,23,13,recall,ESCALATOR,6
63,23,14,recall,KNAPSACK,6
63,24,1,study,OBOE,6
63,24,2,study,TAPE,6
63,24,3,study,BEER,6
63,24,4,study,LIMOUSINE,6
63,24,5,study,PAWN,6
63,24,6,study,SWAN,6
63,24,7,study,OLIVE,6
63,24,8,study,DICTIONARY,6
63,24,9,study,PEBBLE,6
63,24,10,study,DIAMOND,6
63,24,11,study,LETTUCE,6
63,24,12,study,CUCUMBER,6
63,24,13,study,PARROT,6
63,24,14,study,MOTH,6
63,24,15,study,VICTOR,6
63,24,16,study,PUB,6
63,24,1,recall,VICTOR,6
63,24,2,recall,OBOE,6
63,24,3,recall,SWAN,6
63,24,4,recall,LIMOUSINE,6
63,24,5,recall,PUB,6
63,24,6,recall,BEER,6
63,24,7,recall,PARROT,6
63,24,8,recall,MOTH,6
63,24,9,recall,PEBBLE,6
63,24,10,recall,DIAMOND,6
63,24,11,recall,LETTUCE,6
63,24,12,recall,CUCUMBER,6
63,24,13,recall,OLIVE,6
63,24,14,recall,DIAMOND,6
63,24,15,recall,TAPE,6
63,25,1,study,JEWEL,7
63,25,2,study,BEAD,7
63,25,3,study,MAP,7
63,25,4,study,HOSTESS,7
63,25,5,study,PAINTING,7
63,25,6,study,HIGHWAY,7
63,25,7,study,OREGANO,7
63,25,8,study,SAUSAGE,7
63,25,9,study,PARSLEY,7
63,25,10,study,PIN,7
63,25,11,study,DASHBOARD,7
63,25,12,study,PHILOSOPHER,7
63,25,13,study,BANQUET,7
63,25,14,study,PAINT,7
63,25,15,study,DOORBELL,7
63,25,16,study,SAPPHIRE,7
63,25,1,recall,JEWEL,7
63,25,2,recall,BEAD,7
63,25,3,recall,SAPPHIRE,7
63,25,4,recall,PAINTING,7
63,25,5,recall,PAINT,7
63,25,6,recall,POSTAGE,7
63,25,7,recall,PHILOSOPHER,7
63,25,8,recall,HIGHWAY,7
63,25,9,recall,DASHBOARD,7
63,25,10,recall,MAP,7
63,25,11,recall,SAUSAGE,7
63,25,12,recall,OREGANO,7
63,25,13,recall,PARSLEY,7
63,26,1,study,SHIRT,7
63,26,2,study,HANGER,7
63,26,3,study,TOAD,7
63,26,4,study,ROBE,7
63,26,5,study,KETTLE,7
63,26,6,study,SKILLET,7
63,26,7,study,UMBRELLA,7
63,26,8,study,STUMP,7
63,26,9,study,LUMBER,7
63,26,10,study,HAIL,7
63,26,11,study,CANOE,7
63,26,12,study,PIT,7
63,26,13,study,TREE,7
63,26,14,study,PATROL,7
63,26,15,study,COP,7
63,26,16,study,CHIEF,7
63,26,1,recall,PATROL,7
63,26,2,recall,COP,7
63,26,3,recall,CHIEF,7
63,26,4,recall,HANGER,7
63,26,5,recall,SHIRT,7
63,26,6,recall,ROBE,7
63,26,7,recall,UMBRELLA,7
63,26,8,recall,TREE,7
63,26,9,recall,STUMP,7
63,26,10,recall,LUMBER,7
63,26,11,recall,KETTLE,7
63,26,12,recall,SKILLET,7
63,26,13,recall,CANOE,7
63,27,1,study,PRAIRIE,7
63,27,2,study,RAKE,7
63,27,3,study,PORK,7
63,27,4,study,DOUGHNUT,7
63,27,5,study,GARAGE,7
63,27,6,study,FLAG,7
63,27,7,study,SINK,7
63,27,8,study,SHOULDER,7
63,27,9,study,HATCHET,7
63,27,10,study,SCISSORS,7
63,27,11,study,ORGAN,7
63,27,12,study,TERRITORY,7
63,27,13,study,STY,7
63,27,14,study,HEART,7
63,27,15,study,DINNER,7
63,27,16,study,COOKBOOK,7
63,27,1,recall,PORK,7
63,27,2,recall,SHOULDER,7
63,27,3,recall,STY,7
63,27,4,recall,PRAIRIE,7
63,27,5,recall,DINNER,7
63,27,6,recall,HEART,7
63,27,7,recall,GARAGE,7
63,27,8,recall,FLAG,7
63,28,1,study,BLUEBERRY,7
63,28,2,study,PELT,7
63,28,3,study,UMPIRE,7
63,28,4,study,SANDWICH,7
63,28,5,study,REFRIGERATOR,7
63,28,6,study,KEG,7
63,28,7,study,GROCERY,7
63,28,8,study,FOLLOWER,7
63,28,9,study,LEADER,7
63,28,10,study,PAD,7
63,28,11,study,QUAIL,7
63,28,12,study,SUGAR,7
63,28,13,study,VIOLIN,7
63,28,14,study,BOTTLE,7
63,28,15,study,DOVE,7
63,28,16,study,PILLOW,7
63,28,1,recall,BLUEBERRY,7
63,28,2,recall,UMPIRE,7
63,28,3,recall,DOVE,7
63,28,4,recall,QUAIL,7
63,28,5,recall,GROCERY,7
63,28,6,recall,PILLOW,7
63,28,7,recall,FOLLOWER,7
64,1,1,study,SHORTS,1
64,1,2,study,BUTTON,1
64,1,3,study,ENGINE,1
64,1,4,study,CAT,1
64,1,5,study,SHED,1
64,1,6,study,PAW,1
64,1,7,study,FENCE,1
64,1,8,study,GARAGE,1
64,1,9,study,FLEET,1
64,1,10,study,SALESMAN,1
64,1,11,study,HANDCUFFS,1
64,1,12,study,PRAIRIE,1
64,1,13,study,KITCHEN,1
64,1,14,study,SHOP,1
64,1,15,study,FORT,1
64,1,16,study,ARTICLE,1
64,1,1,recall,KITCHEN,1
64,1,2,recall,SHOP,1
64,1,3,recall,FORT,1
64,1,4,recall,ARTICLE,1
64,1,5,recall,HANDCUFFS,1
64,1,6,recall,SALESMAN,1
64,1,7,recall,FLEET,1
64,1,8,recall,PRAIRIE,1
64,1,9,recall,PAW,1
64,1,10,recall,SHED,1
64,1,11,recall,FENCE,1
64,1,12,recall,GARAGE,1
64,1,13,recall,CAT,1
64,1,14,recall,ENGINE,1
64,1,15,recall,SHORTS,1
64,1,16,recall,BUTTON,1
64,2,1,study,FOLDER,1
64,2,2,study,PUDDING,1
64,2,3,study,CLOUD,1
64,2,4,study,SHOE,1
64,2,5,study,DETERGENT,1
64,2,6,study,CARNIVAL,1
64,2,7,study,FIDDLE,1
64,2,8,study,VIOLA,1
64,2,9,study,MOAT,1
64,2,10,study,REEF,1
64,2,11,study,OUTFIT,1
64,2,12,study,REFRIGERATOR,1
64,2,13,study,BAKER,1
64,2,14,study,FOUNTAIN,1
64,2,15,study,TOENAIL,1
64,2,16,study,LAGOON,1
64,2,1,recall,FOUNTAIN,1
64,2,2,recall,BAKER,1
64,2,3,recall,TOENAIL,1
64,2,4,recall,LAGOON,1
64,2,5,recall,REEF,1
64,2,6,recall,MOAT,1
64,2,7,recall,REFRIGERATOR,1
64,2,8,recall,OUTFIT,1
64,2,9,recall,FIDDLE,1
64,2,10,recall,VIOLA,1
64,2,11,recall,DETERGENT,1
64,2,12,recall,CARNIVAL,1
64,2,13,recall,CLOUD,1
64,2,14,recall,SHOE,1
64,2,15,recall,PUDDING,1
64,2,16,recall,FOLDER,1
64,3,1,study,CHIEF,1
64,3,2,study,RAFT,1
64,3,3,study,RIVER,1
64,3,4,study,CRAB,1
64,3,5,study,ANKLE,1
64,3,6,study,GAZELLE,1
64,3,7,study,UTENSIL,1
64,3,8,study,SNACK,1
64,3,9,study,GIRAFFE,1
64,3,10,study,CABINET,1
64,3,11,study,DAUGHTER,1
64,3,12,study,TRIBE,1
64,3,13,study,TURNIP,1
64,3,14,study,BEAN,1
64,3,15,study,ASPIRIN,1
64,3,16,study,KITTEN,1
64,3,1,recall,TURNIP,1
64,3,2,recall,BEAN,1
64,3,3,recall,ASPIRIN,1
64,3,4,recall,KITTEN,1
64,3,5,recall,GIRAFFE,1
64,3,6,recall,CABINET,1
64,3,7,recall,DAUGHTER,1
64,3,8,recall,TRIBE,1
64,3,9,recall,CHIEF,1
64,3,10,recall,CRAB,1
64,3,11,recall,RIVER,1
64,3,12,recall,RAFT,1
64,3,13,recall,GAZELLE,1
64,3,14,recall,ANKLE,1
64,3,15,recall,UTENSIL,1
64,3,16,recall,SNACK,1
64,4,1,study,COIN,1
64,4,2,study,NICKEL,1
