subject,list,position,trial_type,item,item_number,session,list_type,category,response,response_time,list_category
1,2,2,recall,"CHAIR",562,1,mixed,obj,4,0.933,mixed
1,2,3,recall,"JULIA ROBERTS",145,1,mixed,cel,4,0.805,mixed
1,2,4,recall,"JUSTIN TIMBERLAKE",147,1,mixed,cel,4,0.898,mixed
1,2,5,recall,"SEAN PENN",229,1,mixed,cel,3,1.255,mixed
1,2,6,recall,"LEBRON JAMES",160,1,mixed,cel,2,0.928,mixed
1,2,7,recall,"JOHN MCCAIN",139,1,mixed,cel,2,1.018,mixed
1,2,8,recall,"GLASS",597,1,mixed,obj,3,1.051,mixed
1,2,9,recall,"TAHITI",473,1,mixed,loc,4,0.824,mixed
1,2,10,recall,"SAN FRANCISCO",445,1,mixed,loc,4,0.854,mixed
1,2,11,recall,"ST PATRICKS CATHEDRAL",464,1,mixed,loc,2,1.164,mixed
1,2,12,recall,"BRYCE CANYON",282,1,mixed,loc,2,1.241,mixed
1,2,13,recall,"NICOLAS CAGE",192,1,mixed,cel,3,0.752,mixed
1,2,14,recall,"TROPHY",746,1,mixed,obj,3,0.862,mixed
1,3,1,study,"STOVE",726,1,mixed,obj,4,0.944,mixed
1,3,2,study,"TOASTER",738,1,mixed,obj,4,0.673,mixed
1,3,3,study,"TILE",736,1,mixed,obj,3,1.025,mixed
1,3,4,study,"TEAPOT",732,1,mixed,obj,4,0.725,mixed
1,3,5,study,"ACROPOLIS",259,1,mixed,loc,3,1.24,mixed
1,3,6,study,"GUGGENHEIM",342,1,mixed,loc,2,1.308,mixed
1,3,7,study,"STATUE OF LIBERTY",466,1,mixed,loc,4,0.853,mixed
1,3,8,study,"GIANT'S CAUSEWAY",328,1,mixed,loc,1,1.136,mixed
1,3,9,study,"KATIE HOLMES",150,1,mixed,cel,4,0.901,mixed
1,3,10,study,"REGIS PHILBIN",211,1,mixed,cel,2,1.04,mixed
1,3,11,study,"TOM HANKS",245,1,mixed,cel,4,0.93,mixed
1,3,12,study,"QUEEN LATIFAH",207,1,mixed,cel,4,0.814,mixed
1,3,13,study,"JOHN F KENNEDY",135,1,mixed,cel,3,0.846,mixed
1,3,14,study,"JODIE FOSTER",132,1,mixed,cel,4,0.909,mixed
1,3,15,study,"DEVIL'S TOWER",312,1,mixed,loc,1,1.065,mixed
1,3,16,study,"ARABIAN TOWER",266,1,mixed,loc,2,0.882,mixed
1,3,17,study,"OLD FAITHFUL",408,1,mixed,loc,3,0.868,mixed
1,3,18,study,"ST PAULS CATHEDRAL",465,1,mixed,loc,3,0.859,mixed
1,3,19,study,"PIANO",674,1,mixed,obj,4,0.748,mixed
1,3,20,study,"SCISSORS",701,1,mixed,obj,4,0.841,mixed
1,3,21,study,"WEDDING DRESS",761,1,mixed,obj,3,0.79,mixed
1,3,22,study,"LAPTOP",634,1,mixed,obj,4,1.012,mixed
1,3,23,study,"RUSSELL CROWE",223,1,mixed,cel,4,0.839,mixed
1,3,24,study,"GWEN STEFANI",98,1,mixed,cel,4,0.73,mixed
1,3,1,recall,"RUSSELL CROWE",223,1,mixed,cel,4,0.839,mixed
1,3,2,recall,"GWEN STEFANI",98,1,mixed,cel,4,0.73,mixed
1,3,3,recall,"LAPTOP",634,1,mixed,obj,4,1.012,mixed
1,3,4,recall,"STOVE",726,1,mixed,obj,4,0.944,mixed
1,3,5,recall,"TOASTER",738,1,mixed,obj,4,0.673,mixed
1,3,6,recall,"KATIE HOLMES",150,1,mixed,cel,4,0.901,mixed
1,3,7,recall,"REGIS PHILBIN",211,1,mixed,cel,2,1.04,mixed
1,3,8,recall,"TOM HANKS",245,1,mixed,cel,4,0.93,mixed
1,3,9,recall,"ST PAULS CATHEDRAL",465,1,mixed,loc,3,0.859,mixed
1,3,10,recall,"ACROPOLIS",259,1,mixed,loc,3,1.24,mixed
1,3,11,recall,"JOHN F KENNEDY",135,1,mixed,cel,3,0.846,mixed
1,3,12,recall,"QUEEN LATIFAH",207,1,mixed,cel,4,0.814,mixed
1,3,13,recall,"ARABIAN TOWER",266,1,mixed,loc,2,0.882,mixed
1,3,14,recall,"STATUE OF LIBERTY",466,1,mixed,loc,4,0.853,mixed
1,3,15,recall,"DEVIL'S TOWER",312,1,mixed,loc,1,1.065,mixed
1,3,16,recall,"WEDDING DRESS",761,1,mixed,obj,3,0.79,mixed
1,3,17,recall,"TILE",736,1,mixed,obj,3,1.025,mixed
1,3,18,recall,"SCISSORS",701,1,mixed,obj,4,0.841,mixed
1,4,1,study,"BRANDENBURG GATE",279,1,mixed,loc,1,1.321,mixed
1,4,2,study,"JENNE MOSQUE",354,1,mixed,loc,2,0.871,mixed
1,4,3,study,"USHER",248,1,mixed,cel,4,0.972,mixed
1,4,4,study,"NEWT GINGRICH",191,1,mixed,cel,3,0.865,mixed
1,4,5,study,"TOMATO",741,1,mixed,obj,4,0.847,mixed
1,4,6,study,"MICROSCOPE",652,1,mixed,obj,3,0.641,mixed
1,4,7,study,"ELIZABETH TAYLOR",85,1,mixed,cel,4,0.465,mixed
1,4,8,study,"FAITH HILL",88,1,mixed,cel,2,0.544,mixed
1,4,9,study,"BILLY CRYSTAL",35,1,mixed,cel,3,0.666,mixed
1,4,10,study,"MOUNT KILIMANJARO",396,1,mixed,loc,2,0.678,mixed
1,4,11,study,"QUINCY MARKET",432,1,mixed,loc,3,0.747,mixed
1,4,12,study,"NIAGARA FALLS",404,1,mixed,loc,4,0.604,mixed
1,4,13,study,"STAMP",720,1,mixed,obj,3,0.661,mixed
1,4,14,study,"SHELF",705,1,mixed,obj,2,0.764,mixed
1,4,15,study,"MASCARA",646,1,mixed,obj,4,0.673,mixed
1,4,16,study,"JESSICA SIMPSON",124,1,mixed,cel,3,0.768,mixed
1,4,17,study,"OWEN WILSON",197,1,mixed,cel,4,0.832,mixed
1,4,18,study,"LIAM NEESON",162,1,mixed,cel,3,0.93,mixed
1,4,19,study,"PEARL HARBOR",417,1,mixed,loc,4,0.767,mixed
1,4,20,study,"SALT LAKE TEMPLE",443,1,mixed,loc,3,1.062,mixed
1,4,21,study,"GRAND CANYON",334,1,mixed,loc,4,0.765,mixed
1,4,22,study,"BASEBALL BAT",529,1,mixed,obj,4,1.119,mixed
1,4,23,study,"HANGER",609,1,mixed,obj,4,0.755,mixed
1,4,24,study,"SURGE PROTECTOR",727,1,mixed,obj,3,0.862,mixed
1,4,1,recall,"SURGE PROTECTOR",727,1,mixed,obj,3,0.862,mixed
1,4,2,recall,"BASEBALL BAT",529,1,mixed,obj,4,1.119,mixed
1,4,3,recall,"JESSICA SIMPSON",124,1,mixed,cel,3,0.768,mixed
1,4,4,recall,"LIAM NEESON",162,1,mixed,cel,3,0.93,mixed
1,4,5,recall,"USHER",248,1,mixed,cel,4,0.972,mixed
1,4,6,recall,"ELIZABETH TAYLOR",85,1,mixed,cel,4,0.465,mixed
1,4,7,recall,"PEARL HARBOR",417,1,mixed,loc,4,0.767,mixed
1,4,8,recall,"NIAGARA FALLS",404,1,mixed,loc,4,0.604,mixed
1,4,9,recall,"HANGER",609,1,mixed,obj,4,0.755,mixed
1,5,1,study,"TIMES SQUARE",478,1,pure,loc,4,0.873,loc
1,5,2,study,"WAILING WALL",495,1,pure,loc,2,1.229,loc
1,5,3,study,"WORLD WAR II MEMORIAL",506,1,pure,loc,3,0.974,loc
1,5,4,study,"GRAND OLE OPRY",336,1,pure,loc,1,1.116,loc
1,5,5,study,"SEVEN MILE BRIDGE",449,1,pure,loc,2,0.868,loc
1,5,6,study,"OLYMPIA",410,1,pure,loc,3,0.711,loc
1,5,7,study,"ARUBA",268,1,pure,loc,3,0.661,loc
1,5,8,study,"SIERRA NEVADA",453,1,pure,loc,4,0.685,loc
1,5,9,study,"ST BASILS CATHEDRAL",462,1,pure,loc,3,0.977,loc
1,5,10,study,"LINCOLN FINANCIAL FIELD",369,1,pure,loc,3,0.838,loc
1,5,11,study,"KENSINGTON PALACE",357,1,pure,loc,2,0.963,loc
1,5,12,study,"TIMBUKTU",477,1,pure,loc,3,0.782,loc
1,5,13,study,"RIO DE JANEIRO",434,1,pure,loc,4,0.695,loc
1,5,14,study,"IGUAZU FALLS",349,1,pure,loc,3,1.082,loc
1,5,15,study,"ALAMO",261,1,pure,loc,3,0.747,loc
1,5,16,study,"MACHU PICHU",376,1,pure,loc,4,0.826,loc
1,5,17,study,"METLIFE BUILDING",384,1,pure,loc,3,0.91,loc
1,5,18,study,"MAYAN PYRAMID",382,1,pure,loc,3,0.878,loc
1,5,19,study,"SHANGHAI",450,1,pure,loc,4,0.709,loc
1,5,20,study,"MOULIN ROUGE",392,1,pure,loc,4,0.686,loc
1,5,21,study,"LINCOLN CENTER",368,1,pure,loc,2,1.202,loc
1,5,22,study,"HARRODS",343,1,pure,loc,2,1.123,loc
1,5,23,study,"FORBIDDEN CITY",323,1,pure,loc,2,0.819,loc
1,5,24,study,"SORBONNE CHAPEL",459,1,pure,loc,2,0.901,loc
1,5,1,recall,"SORBONNE CHAPEL",459,1,pure,loc,2,0.901,loc
1,5,2,recall,"FORBIDDEN CITY",323,1,pure,loc,2,0.819,loc
1,5,3,recall,"MACHU PICHU",376,1,pure,loc,4,0.826,loc
1,5,4,recall,"HARRODS",343,1,pure,loc,2,1.123,loc
1,5,5,recall,"ARUBA",268,1,pure,loc,3,0.661,loc
1,5,6,recall,"IGUAZU FALLS",349,1,pure,loc,3,1.082,loc
1,5,7,recall,"SHANGHAI",450,1,pure,loc,4,0.709,loc
1,5,8,recall,"RIO DE JANEIRO",434,1,pure,loc,4,0.695,loc
1,5,9,recall,"METLIFE BUILDING",384,1,pure,loc,3,0.91,loc
1,5,10,recall,"LINCOLN FINANCIAL FIELD",369,1,pure,loc,3,0.838,loc
1,5,11,recall,"SIERRA NEVADA",453,1,pure,loc,4,0.685,loc
1,5,12,recall,"SALT LAKE TEMPLE",443,1,pure,loc,3,1.062,loc
1,5,13,recall,"TIMBUKTU",477,1,pure,loc,3,0.782,loc
1,6,1,study,"BARCODE SCANNER",528,1,mixed,obj,3,1.215,mixed
1,6,2,study,"BANDAID",524,1,mixed,obj,4,0.78,mixed
1,6,3,study,"TOM CRUISE",244,1,mixed,cel,4,0.649,mixed
1,6,4,study,"LINDSAY LOHAN",163,1,mixed,cel,4,0.77,mixed
1,6,5,study,"GEORGE WASHINGTON BRIDGE",326,1,mixed,loc,3,1.296,mixed
1,6,6,study,"MALL OF AMERICA",378,1,mixed,loc,4,0.903,mixed
1,6,7,study,"GREAT WALL OF CHINA",340,1,mixed,loc,3,0.714,mixed
1,6,8,study,"BRUCE WILLIS",45,1,mixed,cel,4,0.83,mixed
1,6,9,study,"AUDREY TATOU",21,1,mixed,cel,2,1.189,mixed
1,6,10,study,"GRACELAND",333,1,mixed,loc,2,1.277,mixed
1,6,11,study,"CHICAGO",298,1,mixed,loc,4,0.878,mixed
1,6,12,study,"NECKLACE",659,1,mixed,obj,3,0.608,mixed
1,6,13,study,"PEDAL",666,1,mixed,obj,3,1.068,mixed
1,6,14,study,"KATE WINSLET",148,1,mixed,cel,4,0.768,mixed
1,6,15,study,"CARY GRANT",48,1,mixed,cel,4,0.659,mixed
1,6,16,study,"MADONNA",167,1,mixed,cel,4,0.794,mixed
1,6,17,study,"SAMUEL L JACKSON",225,1,mixed,cel,4,0.728,mixed
1,6,18,study,"ROSE",694,1,mixed,obj,2,0.594,mixed
1,6,19,study,"CANOE",558,1,mixed,obj,1,1.198,mixed
1,6,20,study,"PAPER BAG",664,1,mixed,obj,1,0.973,mixed
1,6,21,study,"BELL",534,1,mixed,obj,2,0.865,mixed
1,6,22,study,"MADISON SQUARE GARDEN",377,1,mixed,loc,3,1.031,mixed
1,6,23,study,"ANGEL FALLS",264,1,mixed,loc,4,0.64,mixed
1,6,24,study,"MASADA",380,1,mixed,loc,3,0.602,mixed
1,6,1,recall,"MASADA",380,1,mixed,loc,3,0.602,mixed
1,6,2,recall,"ANGEL FALLS",264,1,mixed,loc,4,0.64,mixed
1,6,3,recall,"LINDSAY LOHAN",163,1,mixed,cel,4,0.77,mixed
1,6,4,recall,"TOM CRUISE",244,1,mixed,cel,4,0.649,mixed
1,6,5,recall,"MADONNA",167,1,mixed,cel,4,0.794,mixed
1,6,6,recall,"SAMUEL L JACKSON",225,1,mixed,cel,4,0.728,mixed
1,6,7,recall,"KATE WINSLET",148,1,mixed,cel,4,0.768,mixed
1,6,8,recall,"AUDREY TATOU",21,1,mixed,cel,2,1.189,mixed
1,6,9,recall,"MADISON SQUARE GARDEN",377,1,mixed,loc,3,1.031,mixed
1,6,10,recall,"CHICAGO",298,1,mixed,loc,4,0.878,mixed
1,6,11,recall,"BANDAID",524,1,mixed,obj,4,0.78,mixed
1,6,12,recall,"BARCODE SCANNER",528,1,mixed,obj,3,1.215,mixed
1,6,13,recall,"PAPER BAG",664,1,mixed,obj,1,0.973,mixed
1,7,1,study,"SHAQUILLE O'NEAL",230,1,pure,cel,4,1.205,cel
1,7,2,study,"PRINCE",205,1,pure,cel,3,0.805,cel
1,7,3,study,"JENNIFER ANISTON",121,1,pure,cel,4,0.686,cel
1,7,4,study,"AL SHARPTON",5,1,pure,cel,3,0.851,cel
1,7,5,study,"FRAN DRESCHER",89,1,pure,cel,4,0.707,cel
1,7,6,study,"BRAD PITT",40,1,pure,cel,4,0.704,cel
1,7,7,study,"VINCE VAUGHN",250,1,pure,cel,3,0.797,cel
1,7,8,study,"LARRY KING",159,1,pure,cel,2,0.834,cel
1,7,9,study,"DICK CHENEY",78,1,pure,cel,3,0.566,cel
1,7,10,study,"HILLARY CLINTON",106,1,pure,cel,3,0.592,cel
1,7,11,study,"CHARLIE SHEEN",50,1,pure,cel,4,0.545,cel
1,7,12,study,"KURT COBAIN",157,1,pure,cel,3,0.737,cel
1,7,13,study,"LUCY LIU",166,1,pure,cel,3,0.655,cel
1,7,14,study,"MIKE TYSON",185,1,pure,cel,2,0.453,cel
1,7,15,study,"COURTNEY LOVE",64,1,pure,cel,3,0.692,cel
1,7,16,study,"MR. T",187,1,pure,cel,3,0.78,cel
1,7,17,study,"SEAN COMBS",228,1,pure,cel,3,0.712,cel
1,7,18,study,"JON VOIGHT",144,1,pure,cel,3,0.658,cel
1,7,19,study,"JAMIE FOXX",115,1,pure,cel,3,0.756,cel
1,7,20,study,"BENICIO DEL TORO",27,1,pure,cel,4,0.739,cel
1,7,21,study,"JASON ALEXANDER",118,1,pure,cel,3,0.655,cel
1,7,22,study,"SYLVESTER STALLONE",238,1,pure,cel,3,0.77,cel
1,7,23,study,"HOWARD STERN",107,1,pure,cel,2,1.017,cel
1,7,24,study,"SARAH JESSICA PARKER",226,1,pure,cel,4,0.976,cel
1,7,1,recall,"SARAH JESSICA PARKER",226,1,pure,cel,4,0.976,cel
1,7,2,recall,"KURT COBAIN",157,1,pure,cel,3,0.737,cel
1,7,3,recall,"BRAD PITT",40,1,pure,cel,4,0.704,cel
1,7,4,recall,"JENNIFER ANISTON",121,1,pure,cel,4,0.686,cel
1,7,5,recall,"DICK CHENEY",78,1,pure,cel,3,0.566,cel
1,7,6,recall,"HILLARY CLINTON",106,1,pure,cel,3,0.592,cel
1,7,7,recall,"SYLVESTER STALLONE",238,1,pure,cel,3,0.77,cel
1,7,8,recall,"JAMIE FOXX",115,1,pure,cel,3,0.756,cel
1,7,9,recall,"SEAN COMBS",228,1,pure,cel,3,0.712,cel
1,7,10,recall,"VINCE VAUGHN",250,1,pure,cel,3,0.797,cel
1,7,11,recall,"CHARLIE SHEEN",50,1,pure,cel,4,0.545,cel
1,7,12,recall,"COURTNEY LOVE",64,1,pure,cel,3,0.692,cel
1,7,13,recall,"HOWARD STERN",107,1,pure,cel,2,1.017,cel
1,7,14,recall,"JASON ALEXANDER",118,1,pure,cel,3,0.655,cel
1,8,1,study,"MOUNT EVEREST",394,1,mixed,loc,4,0.847,mixed
1,8,2,study,"PHILADELPHIA ART MUSEUM",422,1,mixed,loc,2,1.122,mixed
1,8,3,study,"WASHINGTON SQUARE ARCH",499,1,mixed,loc,2,0.851,mixed
1,8,4,study,"KNIFE",629,1,mixed,obj,3,0.875,mixed
1,8,5,study,"ACORN",513,1,mixed,obj,2,0.997,mixed
1,8,6,study,"WHIP",763,1,mixed,obj,3,1.019,mixed
1,8,7,study,"MIKE MYERS",184,1,mixed,cel,4,0.749,mixed
1,8,8,study,"MARGARET THATCHER",169,1,mixed,cel,3,0.688,mixed
1,8,9,study,"MEG RYAN",176,1,mixed,cel,2,0.714,mixed
1,8,10,study,"CD",560,1,mixed,obj,3,0.649,mixed
1,8,11,study,"BOLT",540,1,mixed,obj,3,0.841,mixed
1,8,12,study,"GLOVES",599,1,mixed,obj,3,1.066,mixed
1,8,13,study,"LIPSTICK",643,1,mixed,obj,4,0.837,mixed
1,8,14,study,"PURSE",683,1,mixed,obj,4,0.583,mixed
1,8,15,study,"NATIONAL AQUARIUM",401,1,mixed,loc,2,0.872,mixed
1,8,16,study,"YOSEMITE",511,1,mixed,loc,3,0.58,mixed
1,8,17,study,"WIMBLEDON",503,1,mixed,loc,3,0.548,mixed
1,8,18,study,"COLONIAL WILLIAMSBURG",305,1,mixed,loc,3,0.768,mixed
1,8,19,study,"PETRA",419,1,mixed,loc,3,0.66,mixed
1,8,20,study,"HILARY DUFF",105,1,mixed,cel,4,0.758,mixed
1,8,21,study,"MERYL STREEP",178,1,mixed,cel,3,0.617,mixed
1,8,22,study,"HALLE BERRY",101,1,mixed,cel,4,0.668,mixed
1,8,23,study,"ANDRE AGASSI",13,1,mixed,cel,4,0.697,mixed
1,8,24,study,"DAVID BECKHAM",70,1,mixed,cel,4,0.908,mixed
1,8,1,recall,"DAVID BECKHAM",70,1,mixed,cel,4,0.908,mixed
1,8,2,recall,"ANDRE AGASSI",13,1,mixed,cel,4,0.697,mixed
1,8,3,recall,"HILARY DUFF",105,1,mixed,cel,4,0.758,mixed
1,8,4,recall,"HALLE BERRY",101,1,mixed,cel,4,0.668,mixed
1,8,5,recall,"YOSEMITE",511,1,mixed,loc,3,0.58,mixed
1,8,6,recall,"PHILADELPHIA ART MUSEUM",422,1,mixed,loc,2,1.122,mixed
1,8,7,recall,"WHIP",763,1,mixed,obj,3,1.019,mixed
1,8,8,recall,"KNIFE",629,1,mixed,obj,3,0.875,mixed
1,8,9,recall,"MOUNT EVEREST",394,1,mixed,loc,4,0.847,mixed
1,8,10,recall,"WIMBLEDON",503,1,mixed,loc,3,0.548,mixed
1,8,11,recall,"MERYL STREEP",178,1,mixed,cel,3,0.617,mixed
1,9,1,study,"SMITHSONIAN CASTLE",456,1,mixed,loc,3,1.463,mixed
1,9,2,study,"SKYDOME",455,1,mixed,loc,3,0.726,mixed
1,9,3,study,"UMBRELLA",750,1,mixed,obj,4,0.618,mixed
1,9,4,study,"DEODORANT",572,1,mixed,obj,3,0.498,mixed
1,9,5,study,"BENJAMIN FRANKLIN",28,1,mixed,cel,2,0.542,mixed
1,9,6,study,"DAN RATHER",66,1,mixed,cel,3,0.634,mixed
1,9,7,study,"VIENNA",493,1,mixed,loc,3,0.751,mixed
1,9,8,study,"PLACE DE LA CONCORDE",425,1,mixed,loc,3,0.705,mixed
1,9,9,study,"GREAT SALT LAKE",339,1,mixed,loc,2,0.716,mixed
1,9,10,study,"SIENA",452,1,mixed,loc,3,0.579,mixed
1,9,11,study,"GLOBE",598,1,mixed,obj,3,0.681,mixed
1,9,12,study,"IPOD",619,1,mixed,obj,4,0.908,mixed
1,9,13,study,"VEST",754,1,mixed,obj,4,0.682,mixed
1,9,14,study,"BOWLING BALL",544,1,mixed,obj,4,1.096,mixed
1,9,15,study,"CONDOLEEZZA RICE",62,1,mixed,cel,3,0.701,mixed
1,9,16,study,"BRUCE SPRINGSTEEN",44,1,mixed,cel,3,0.708,mixed
1,9,17,study,"UMA THURMAN",247,1,mixed,cel,4,0.721,mixed
1,9,18,study,"DAVID HASSELHOFF",72,1,mixed,cel,2,0.719,mixed
1,9,19,study,"SPORK",718,1,mixed,obj,3,0.626,mixed
1,9,20,study,"GRILL",603,1,mixed,obj,4,0.737,mixed
1,9,21,study,"LONDON EYE",372,1,mixed,loc,3,0.591,mixed
1,9,22,study,"SAHARA",441,1,mixed,loc,3,0.56,mixed
1,9,23,study,"MICHAEL DOUGLAS",179,1,mixed,cel,3,0.709,mixed
1,9,24,study,"ROSEANNE BARR",222,1,mixed,cel,2,0.833,mixed
1,9,1,recall,"ROSEANNE BARR",222,1,mixed,cel,2,0.833,mixed
1,9,2,recall,"MICHAEL DOUGLAS",179,1,mixed,cel,3,0.709,mixed
1,9,3,recall,"SAHARA",441,1,mixed,loc,3,0.56,mixed
1,9,4,recall,"SIENA",452,1,mixed,loc,3,0.579,mixed
1,9,5,recall,"VIENNA",493,1,mixed,loc,3,0.751,mixed
1,9,6,recall,"BRUCE SPRINGSTEEN",44,1,mixed,cel,3,0.708,mixed
1,9,7,recall,"CONDOLEEZZA RICE",62,1,mixed,cel,3,0.701,mixed
1,9,8,recall,"BOWLING BALL",544,1,mixed,obj,4,1.096,mixed
1,9,9,recall,"VEST",754,1,mixed,obj,4,0.682,mixed
1,9,10,recall,"UMA THURMAN",247,1,mixed,cel,4,0.721,mixed
1,9,11,recall,"ROSEANNE BARR",222,1,mixed,cel,2,0.833,mixed
1,9,12,recall,"MICHAEL DOUGLAS",179,1,mixed,cel,3,0.709,mixed
1,9,13,recall,"DAN RATHER",66,1,mixed,cel,3,0.634,mixed
1,10,1,study,"ANTHONY HOPKINS",16,1,mixed,cel,4,0.792,mixed
1,10,2,study,"ALEC BALDWIN",7,1,mixed,cel,4,0.857,mixed
1,10,3,study,"JACK BLACK",110,1,mixed,cel,3,0.801,mixed
1,10,4,study,"THE VENETIAN",476,1,mixed,loc,4,0.949,mixed
1,10,5,study,"GLOBE THEATER",331,1,mixed,loc,2,0.749,mixed
1,10,6,study,"NEST",660,1,mixed,obj,1,1.485,mixed
1,10,7,study,"STAPLE REMOVER",721,1,mixed,obj,3,1.106,mixed
1,10,8,study,"GOBLET",601,1,mixed,obj,2,0.779,mixed
1,10,9,study,"FLORENCE",322,1,mixed,loc,3,0.847,mixed
1,10,10,study,"BARCELONA CATHEDRAL",272,1,mixed,loc,4,0.805,mixed
1,10,11,study,"GEORGE W BUSH",95,1,mixed,cel,3,0.671,mixed
1,10,12,study,"QUEEN ELIZABETH",206,1,mixed,cel,3,1.132,mixed
1,10,13,study,"MATT DAMON",174,1,mixed,cel,4,0.727,mixed
1,10,14,study,"TWEEZERS",748,1,mixed,obj,2,0.572,mixed
1,10,15,study,"HIGHLIGHTER",613,1,mixed,obj,4,0.928,mixed
1,10,16,study,"VASE",753,1,mixed,obj,3,0.675,mixed
1,10,17,study,"WALL STREET",497,1,mixed,loc,3,0.578,mixed
